web-scraper-order,web-scraper-start-url,product_name,test_methodology,price,price-href,release_year,neutral_sound,wireless_gaming,headphone_type,comfort,weight,controls_rating,os_compatibility,controls_ease_of_use,breathability,portability,build_quality,frequency_response_consistency,frc_std,peaks_dips,imaging,battery,app_support,ios_support,android_support,macos_support,windows_support,bluetooth_rating,bluetooth_version,latency_aptx,latency_sbc,aac_support,brand_name
"1702359442-97","https://www.rtings.com/headphones/tools/table/126803","Beats Studio3 Wireless","v1.5","SEARCH","https://www.amazon.com/s?k=Beats+Studio3+Wireless&tag=rtings-20&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2020","6.8","5.5","Over-ear","8.0","0.58 lbs","7.3","Not OS specific","Good","6.4","6.1","7.5","6.3","0.83 dB","7.6","5.1","7.6","5.0","Yes","Yes","No","No","7.3","4.2 + W1 chip","N/A","176 ms","","Beats"
"1702359442-98","https://www.rtings.com/headphones/tools/table/126803","Razer Hammerhead True Wireless 2021","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B099LZ2BGB?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","6.2","5.6","In-ear","7.0","0.02 lbs","7.6","Not OS specific","Decent","9.2","9.5","7.5","9.4","0.12 dB","7.3","9.3","7.0","8.0","Yes","Yes","No","No","7.2","5.2","N/A","275 ms","","Razer"
"1702359442-99","https://www.rtings.com/headphones/tools/table/126803","Sennheiser MOMENTUM True Wireless 3","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B09T935X38?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2022","7.1","5.6","In-ear","7.0","0.3 lbs","7.5","Not OS specific","Okay","","9.4","8.0","8.8","0.25 dB","7.9","9.0","7.7","8.0","Yes","Yes","No","No","8.4","5.2","233 ms","260 ms","","Sennheiser"
"1702359442-100","https://www.rtings.com/headphones/tools/table/126803","Logitech G733 LIGHTSPEED Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B081415GCS?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2020","7.8","7.2","Over-ear","7.5","0.62 lbs","5.6","Not OS specific","Good","","5.4","7.0","5.4","1.28 dB","7.8","8.9","8.2","9.0","No","No","Yes","Yes","0.0","No Bluetooth","N/A","N/A","","Logitech"
"1702359442-101","https://www.rtings.com/headphones/tools/table/126803","Shokz OpenRun Pro Bone Conduction","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B09BW2P5HQ?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2022","5.3","5.1","Bone Conduction","7.5","0.06 lbs","6.8","Not OS specific","Good","","7.0","7.5","5.7","1.08 dB","5.5","3.5","7.4","7.0","Yes","Yes","No","No","8.5","5.1","N/A","229 ms","","Shokz"
"1702359442-102","https://www.rtings.com/headphones/tools/table/126803","Jaybird Vista 2 Truly Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B08B3G74MY?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","7.3","5.8","In-ear","7.5","0.03 lbs","7.7","Not OS specific","Good","9.2","9.4","8.0","8.3","0.33 dB","6.6","9.5","6.9","8.0","Yes","Yes","No","No","7.0","5.0","N/A","157 ms","","Jaybird"
"1702359442-103","https://www.rtings.com/headphones/tools/table/126803","Shokz OpenFit True Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B0BYSSD56Y?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2023","6.1","5.5","Earbuds","7.5","0.04 lbs","5.3","Not OS specific","Good","","9.2","7.5","8.7","0.27 dB","5.2","5.8","6.8","7.0","Yes","Yes","No","No","7.0","5.2","N/A","365 ms","","Shokz"
"1702359442-104","https://www.rtings.com/headphones/tools/table/126803","JBL Tune 660NC Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B08WNBYQC9?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","7.5","5.4","On-ear","6.5","0.38 lbs","7.6","Not OS specific","Good","7.7","6.9","6.0","7.5","0.5 dB","6.7","8.6","7.9","0.0","No","No","No","No","8.3","5.0","N/A","176 ms","","JBL"
"1702359442-105","https://www.rtings.com/headphones/tools/table/126803","Dyson Zone Wireless","v1.5","SEARCH","https://www.amazon.com/s?k=Dyson+Zone+Absolute%2B&tag=rtings-20&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2023","7.8","5.9","Over-ear","7.5","1.31 lbs","7.5","Not OS specific","Good","","5.6","7.5","7.5","0.51 dB","6.3","8.5","8.4","7.0","Yes","Yes","No","No","7.1","Unspecified","N/A","206 ms","","Dyson"
"1702359442-106","https://www.rtings.com/headphones/tools/table/126803","Razer Barracuda X Wireless 2021","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B096N6Q51N?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","7.4","7.2","Over-ear","7.5","0.59 lbs","7.1","Not OS specific","Good","","5.8","7.0","5.8","1.03 dB","7.3","8.6","8.9","0.0","No","No","No","No","0.0","No Bluetooth","N/A","N/A","","Razer"
"1702359442-107","https://www.rtings.com/headphones/tools/table/126803","Nothing Ear (stick) Truly Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B0B45WH7TN?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2022","7.3","5.9","Earbuds","8.0","0.02 lbs","7.3","Not OS specific","Great","","9.6","8.0","6.4","0.78 dB","7.4","7.8","6.3","8.5","Yes","Yes","No","No","7.0","5.2","N/A","328 ms","","Nothing"
"1702359442-108","https://www.rtings.com/headphones/tools/table/126803","Skullcandy Indy ANC True Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B08G211JLR?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2020","6.6","5.5","In-ear","7.0","0.03 lbs","7.4","Not OS specific","Okay","9.2","9.5","7.5","9.1","0.19 dB","8.1","8.5","6.0","7.5","Yes","Yes","No","No","7.3","5.0","N/A","171 ms","","Skullcandy"
"1702359442-109","https://www.rtings.com/headphones/tools/table/126803","Wyze Buds Truly Wireless","v1.5","SEARCH","https://www.amazon.com/s?k=Wyze+Buds&tag=rtings-20&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","6.8","5.4","In-ear","7.0","0.02 lbs","5.6","Not OS specific","Decent","","9.5","7.5","9.3","0.15 dB","7.4","7.7","6.4","7.5","Yes","Yes","No","No","6.7","5.0","N/A","260 ms","","Wyze"
"1702359442-110","https://www.rtings.com/headphones/tools/table/126803","Amazon Echo Buds True Wireless 2023 (3rd generation)","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B09JVG3TWX?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2023","6.9","5.5","Earbuds","7.5","0.02 lbs","5.1","Not OS specific","Decent","","9.6","7.5","6.7","0.69 dB","7.9","6.4","6.6","7.5","Yes","Yes","No","No","8.5","5.2","233 ms","235 ms","","Amazon"
"1702359442-111","https://www.rtings.com/headphones/tools/table/126803","Sony WH-XB910N Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B09CGB6VRR?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","5.0","5.3","Over-ear","8.0","0.55 lbs","7.7","Not OS specific","Good","","6.0","7.5","7.0","0.61 dB","5.6","8.1","8.7","8.0","Yes","Yes","No","No","8.3","5.2","N/A","201 ms","","Sony"
"1702359442-112","https://www.rtings.com/headphones/tools/table/126803","JBL Live Pro 2 TWS True Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B09V9P5Q6W?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2022","7.2","5.8","In-ear","7.0","0.02 lbs","8.0","Not OS specific","Good","","9.5","7.5","8.7","0.27 dB","8.1","8.7","7.8","8.5","Yes","Yes","No","No","7.9","5.2","N/A","329 ms","","JBL"
"1702359442-113","https://www.rtings.com/headphones/tools/table/126803","JBL Vibe 100TWS True Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B095J62YQR?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","7.3","5.5","In-ear","7.0","0.02 lbs","5.6","Not OS specific","Good","9.2","9.5","7.5","9.2","0.17 dB","8.8","5.1","6.0","0.0","No","No","No","No","6.8","5.0","N/A","296 ms","","JBL"
"1702359442-114","https://www.rtings.com/headphones/tools/table/126803","SteelSeries Arctis 7+ Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B09KMHMYPF?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2022","7.2","7.6","Over-ear","7.5","0.79 lbs","7.8","Not OS specific","Good","","5.8","8.0","5.3","1.88 dB","7.6","7.1","9.3","8.0","No","No","Yes","Yes","0.0","No Bluetooth","N/A","N/A","","SteelSeries"
"1702359442-115","https://www.rtings.com/headphones/tools/table/126803","Razer BlackShark V2 Pro Wireless 2020","v1.5","SEE PRICE","https://shop-links.co/1783688027258154782?u1=rtings","2020","7.0","7.1","Over-ear","7.5","0.72 lbs","5.7","Not OS specific","Good","6.2","5.4","6.5","6.1","0.91 dB","6.5","8.0","8.4","8.5","No","No","Yes","Yes","0.0","No Bluetooth","N/A","N/A","","Razer"
"1702359442-116","https://www.rtings.com/headphones/tools/table/126803","Astro A30 Wireless","v1.5","SEARCH","https://www.amazon.com/s?k=Astro+A30+for+Xbox&tag=rtings-20&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2022","7.2","7.5","Over-ear","7.0","0.76 lbs","7.6","Not OS specific","Good","","5.6","8.0","5.4","1.29 dB","7.1","7.4","9.2","8.0","Yes","Yes","No","No","8.6","5.0","N/A","280 ms","","Astro"
"1702359442-117","https://www.rtings.com/headphones/tools/table/126803","Bowers & Wilkins Px7 S2 Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B09ZXXYRKY?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2022","7.0","5.9","Over-ear","7.5","0.68 lbs","8.1","Not OS specific","Good","","6.1","8.5","6.9","0.63 dB","6.8","7.9","8.6","6.5","Yes","Yes","No","No","8.5","5.2","217 ms","198 ms","","Bowers & Wilkins"
"1702359442-118","https://www.rtings.com/headphones/tools/table/126803","Bowers & Wilkins Px8 Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B0B33PXPJT?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2022","7.0","5.8","Over-ear","8.0","0.7 lbs","7.7","Not OS specific","Good","","5.9","8.5","6.4","0.77 dB","6.9","5.9","8.6","7.0","Yes","Yes","No","No","8.3","5.2","216 ms","178 ms","","Bowers & Wilkins"
"1702359442-119","https://www.rtings.com/headphones/tools/table/126803","JBL Tune 510BT Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B08WM3LMJF?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","7.4","5.4","On-ear","6.5","0.35 lbs","7.1","Not OS specific","Good","7.4","6.9","6.0","7.8","0.43 dB","7.1","7.2","7.4","0.0","No","No","No","No","8.3","5.0","N/A","186 ms","","JBL"
"1702359442-120","https://www.rtings.com/headphones/tools/table/126803","JLab Audio GO Air POP True Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B09HN594TL?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","7.0","5.4","In-ear","7.0","0.02 lbs","6.5","Not OS specific","Decent","9.2","9.6","7.5","8.8","0.24 dB","7.3","9.3","6.8","0.0","No","No","No","No","6.7","5.1","N/A","212 ms","","JLab Audio"
"1702359442-121","https://www.rtings.com/headphones/tools/table/126803","Nothing Ear (2) Truly Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B0C8HCSL1Z?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2023","7.5","5.9","In-ear","7.5","0.02 lbs","7.7","Not OS specific","Good","","9.5","8.0","9.3","0.14 dB","8.4","7.6","6.2","7.5","Yes","Yes","No","No","8.3","5.3","N/A","278 ms","","Nothing"
"1702359442-122","https://www.rtings.com/headphones/tools/table/126803","Beats Fit Pro True Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B09JL41N9C?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","7.2","5.2","In-ear","6.5","0.03 lbs","6.3","Not OS specific","Good","","9.5","7.5","6.7","0.68 dB","7.9","6.3","6.0","5.5","Yes","Yes","No","No","6.8","5.0+H1 chip","N/A","173 ms","","Beats"
"1702359442-123","https://www.rtings.com/headphones/tools/table/126803","Beats Studio Buds + True Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B0C2W1KLSS?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2023","6.7","5.4","In-ear","7.5","0.02 lbs","6.3","Not OS specific","Good","","9.5","7.5","8.4","0.31 dB","7.6","3.4","6.5","6.0","Yes","Yes","No","No","7.2","Unspecified","N/A","245 ms","","Beats"
"1702359442-124","https://www.rtings.com/headphones/tools/table/126803","JBL TUNE 230NC TWS True Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B09FM6PDHP?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","7.4","5.8","In-ear","7.5","0.02 lbs","6.5","Not OS specific","Good","","9.5","7.5","9.0","0.21 dB","8.9","9.2","7.8","8.0","Yes","Yes","No","No","6.9","5.2","N/A","323 ms","","JBL"
"1702359442-125","https://www.rtings.com/headphones/tools/table/126803","Jabra Elite 3 True Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B09B45T59G?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","7.4","5.9","In-ear","7.5","0.02 lbs","7.5","Not OS specific","Decent","9.2","9.5","7.5","8.6","0.28 dB","8.0","8.6","7.4","7.5","Yes","Yes","No","No","7.1","5.2","224 ms","239 ms","","Jabra"
"1702359442-126","https://www.rtings.com/headphones/tools/table/126803","Turtle Beach Stealth 600 Gen 2 Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B08D46V1TK?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2020","7.4","7.2","Over-ear","7.5","0.64 lbs","5.4","Not OS specific","Decent","","5.5","7.0","5.4","1.34 dB","7.0","8.1","8.5","4.0","No","No","Yes","Yes","0.0","No Bluetooth","N/A","N/A","","Turtle Beach"
"1702359442-127","https://www.rtings.com/headphones/tools/table/126803","JBL Tune 130NC TWS Truly Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B09JB8KPNW?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","7.5","5.9","In-ear","7.5","0.02 lbs","6.5","Not OS specific","Good","","9.5","7.5","8.0","0.4 dB","8.8","7.3","7.6","8.0","Yes","Yes","No","No","6.9","5.2","N/A","313 ms","","JBL"
"1702359442-128","https://www.rtings.com/headphones/tools/table/126803","OnePlus Buds Pro 2 Truly Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B0BQ92FDB8?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2023","7.3","5.6","In-ear","7.5","0.02 lbs","6.3","Not OS specific","Good","","9.4","7.5","9.5","0.1 dB","7.5","7.8","6.3","8.0","Yes","Yes","No","No","8.5","5.3","N/A","248 ms","","OnePlus"
"1702359442-129","https://www.rtings.com/headphones/tools/table/126803","Sony WH-CH710N Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B085RNVJ3P?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2020","7.1","5.3","Over-ear","7.5","0.49 lbs","7.6","Not OS specific","Good","5.8","5.6","7.0","6.5","0.74 dB","6.5","8.7","8.0","0.0","No","No","No","No","7.6","5.0","N/A","255 ms","","Sony"
"1702359442-130","https://www.rtings.com/headphones/tools/table/126803","Sony WF-C500 Truly Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B09CFP6J6D?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","7.4","5.7","In-ear","7.0","0.02 lbs","6.8","Not OS specific","Good","","9.5","7.5","9.3","0.15 dB","7.7","6.9","7.0","7.5","Yes","Yes","No","No","6.9","5.0","N/A","241 ms","","Sony"
"1702359442-131","https://www.rtings.com/headphones/tools/table/126803","Samsung Galaxy Buds+ Truly Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B083KVM9VW?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2020","7.9","6.1","In-ear","7.5","0.03 lbs","5.8","Not OS specific","Decent","9.2","9.5","7.5","9.6","0.08 dB","8.7","9.0","7.8","7.0","Yes","Yes","Yes","Yes","6.8","5.0","N/A","332 ms","","Samsung"
"1702359442-132","https://www.rtings.com/headphones/tools/table/126803","JBL Live 660NC Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B091FZK6VB?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","7.7","5.8","Over-ear","7.0","0.58 lbs","7.7","Not OS specific","Good","6.6","6.1","7.5","7.3","0.54 dB","7.6","8.1","8.7","8.0","Yes","Yes","No","No","8.3","5.0","N/A","211 ms","","JBL"
"1702359442-133","https://www.rtings.com/headphones/tools/table/126803","Turtle Beach Stealth 700 Gen 2 Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B08D45GCMJ?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2020","7.0","7.1","Over-ear","7.0","0.84 lbs","7.2","Not OS specific","Okay","5.9","5.3","8.0","7.0","0.61 dB","7.2","8.5","8.1","8.0","Yes","Yes","No","No","8.1","5.0","N/A","251 ms","","Turtle Beach"
"1702359442-134","https://www.rtings.com/headphones/tools/table/126803","Turtle Beach Stealth Pro Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B0BX76VRZL?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2023","7.0","7.4","Over-ear","7.5","0.92 lbs","8.3","Not OS specific","Decent","","5.4","8.0","7.0","0.62 dB","5.6","8.2","8.4","8.0","Yes","Yes","Yes","Yes","8.5","5.1","N/A","178 ms","","Turtle Beach"
"1702359442-135","https://www.rtings.com/headphones/tools/table/126803","Skullcandy Crusher Evo Wireless","v1.5","SEARCH","https://www.amazon.com/s?k=Skullcandy+Crusher+Evo&tag=rtings-20&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2020","7.5","5.7","Over-ear","7.0","0.69 lbs","6.8","Not OS specific","Good","","6.2","7.5","7.1","0.59 dB","7.3","7.0","8.1","7.0","Yes","Yes","No","No","7.1","5.0","N/A","228 ms","","Skullcandy"
"1702359442-136","https://www.rtings.com/headphones/tools/table/126803","Status Between Pro True Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B08PYSNG35?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","7.1","5.6","In-ear","7.0","0.03 lbs","6.8","Not OS specific","Good","","9.6","7.5","8.7","0.26 dB","8.3","8.6","7.6","N/A","No","No","No","No","7.2","5.2","333 ms","343 ms","","Status"
"1702359442-137","https://www.rtings.com/headphones/tools/table/126803","Status Between 3ANC True Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B0C2BCYDTK?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2023","7.0","5.5","In-ear","7.0","0.03 lbs","7.7","Not OS specific","Good","","9.6","7.5","7.9","0.42 dB","8.4","9.2","7.5","7.5","Yes","Yes","No","No","8.4","5.2","N/A","248 ms","","Status"
"1702359442-138","https://www.rtings.com/headphones/tools/table/126803","Sony WF-C700N Truly Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B0BYPFNW6T?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2023","7.4","5.8","In-ear","7.0","0.02 lbs","7.7","Not OS specific","Good","","9.5","7.5","9.2","0.17 dB","7.4","7.0","7.4","8.0","Yes","Yes","No","No","6.9","5.2","N/A","219 ms","","Sony"
"1702359442-139","https://www.rtings.com/headphones/tools/table/126803","Sony WH-XB900N Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B07RM8WQ8G?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2019","7.0","5.8","Over-ear","8.0","0.56 lbs","7.7","Not OS specific","Good","5.9","5.8","7.5","5.9","0.97 dB","7.1","8.6","7.3","8.0","Yes","Yes","No","No","7.4","4.2","162 ms","254 ms","","Sony"
"1702359442-140","https://www.rtings.com/headphones/tools/table/126803","Razer Opus Wireless 2020","v1.5","SEARCH","https://www.amazon.com/s?k=Razer+Opus+2020&tag=rtings-20&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2020","8.0","6.0","Over-ear","7.5","0.59 lbs","7.5","Not OS specific","Good","6.8","6.0","8.0","7.4","0.53 dB","8.0","9.1","8.5","7.0","Yes","Yes","No","No","7.0","4.2","172 ms","230 ms","","Razer"
"1702359442-141","https://www.rtings.com/headphones/tools/table/126803","EarFun Air Pro 2 True Wireless 2021","v1.5","SEARCH","https://www.amazon.com/s?k=EarFun+Air+Pro+2&tag=rtings-20&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2021","7.6","5.6","In-ear","7.0","0.02 lbs","7.7","Not OS specific","Good","9.2","9.5","7.5","9.0","0.2 dB","8.5","9.2","7.2","0.0","No","No","No","No","6.7","5.2","N/A","239 ms","","EarFun"
"1702359442-142","https://www.rtings.com/headphones/tools/table/126803","Jabra Elite 4 Active True Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B09MVGQRDD?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2022","7.5","5.8","In-ear","7.0","0.02 lbs","8.0","Not OS specific","Decent","","9.4","7.5","9.5","0.1 dB","7.9","9.4","7.6","7.5","Yes","Yes","No","No","7.0","5.2","221 ms","240 ms","","Jabra"
"1702359442-143","https://www.rtings.com/headphones/tools/table/126803","Jabra Elite 4 True Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B0BTZKP1TP?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2023","7.5","5.8","In-ear","7.0","9 lbs","8.0","Not OS specific","Decent","","9.5","7.5","9.0","0.21 dB","8.2","8.4","7.0","7.5","Yes","Yes","No","No","8.5","5.2","243 ms","253 ms","","Jabra"
"1702359442-144","https://www.rtings.com/headphones/tools/table/126803","Sony WH-CH720N Wireless","v1.5","SEE PRICE","http://www.amazon.com/gp/product/B0BS1QCFHX?tag=rtings-20&ie=UTF8&asc_campaign=&asc_source=&asc_refurl=https%3A%2F%2Fwww.rtings.com%2Fheadphones%2Ftools%2Ftable%2F126803","2023","6.8","5.6","Over-ear","7.5","0.41 lbs","7.7","Not OS specific","Good","","6.0","7.0","6.2","0.84 dB","6.1","5.8","8.5","8.0","Yes","Yes","No","No","8.4","5.2","N/A","277 ms","","Sony"
